Name,Weight
郝红梅,137
孙少平,647
田福堂,803
田晓霞,138
孙玉厚,338
孙少安,596
孙玉亭,447
贺凤英,90
金俊山,269
田福军,621
田万江,31
金俊文,170
田润叶,58
田润生,66
刘志英,42
田万有,26
贺秀莲,32
贺耀宗,33
金光明,78
张桂兰,30
金光辉,23
吴仲平,72
李玉玲,41
孙卫红,13
